name_possible_match,category_possible_match,street_address_possible_match,zip_code_possible_match,name_snap_wic,category_snap_wic,street_address_snap_wic,zip_code_snap_wic,distance,snap_wic_index,possible_match_index,is_match,new_category,closed_possible_match,closed_snap_wic,duplicate_snap_wic
Natural Foods,Supermarkets, ,,The Nature Stop,Stores that Accept SNAP/WIC,1336 Grant Ave,94133,12.11497297,1,362,x,supermarket,,,
Jonells,Liquor Stores, ,,Young Ellis Produce,Stores that Accept SNAP/WIC,396 Ellis St,94102,32.80113588,2,288,,corner store,x,,
Mike's Discount Liquors,Liquor Stores, ,,Mission Martco 356457,Stores that Accept SNAP/WIC,5098 Mission St,94112,29.73993064,3,243,,corner store,,,
Casa Guadalupe,International Grocery Stores,2909 Mission Street,,La Loma Produce 8,Stores that Accept SNAP/WIC,2840 Mission St,94110,119.9371747,4,332,,International Grocery Stores,,,
Victoria Liquor & Groceries,Liquor Stores,201;207 Gough Street,,Nick's Food,Stores that Accept SNAP/WIC,1659 Market St,94103,236.1312291,5,224,,Liquor Store,,,
Mollie Stone's,Supermarkets, ,,Mollie Stones Market 9,Stores that Accept SNAP/WIC,4201 18th St,94114,18.02741296,6,324,x,Supermarket,,,
Casa Guadalupe,International Grocery Stores,2909 Mission Street,,Golden Market,Stores that Accept SNAP/WIC,2899 Mission St,94110,39.00866875,7,332,,Liquor Store,,,
Casa Lucas,International Grocery Stores,2934 24th St,94110,Lo-cost Meat Market 2,Stores that Accept SNAP/WIC,2918 24th St,94110,46.41008886,8,205,,Supermarket,,,
Roxie Food Center,Corner Stores,1901 San Jose Avenue,94112,Kwik & Convenient,Stores that Accept SNAP/WIC,600 Monterey Blvd,94127,862.54764,9,141,,corner store,,,
Mi Pueblito Market,International Grocery Stores,2765 Mission Street,,"Fresh Meat Market, Inc 1",Stores that Accept SNAP/WIC,2704 Mission St,94110,97.32438048,10,351,,Supermarket,,,
Stardust Market,Corner Stores,3801 Geary Boulevard,94118,Chevron 1768,Stores that Accept SNAP/WIC,3675 Geary Blvd,94118,146.1482702,11,168,,corner store,,,
Food and Liquor World,Liquor Stores,728 Post Street,94109,ROUND THE CLOCK,Stores that Accept SNAP/WIC,1001 Bush St,94109,190.1903982,12,222,,Supermarket,,,
Jonells,Liquor Stores, ,,Starlight Market,Stores that Accept SNAP/WIC,402 Ellis St,94102,17.67870973,13,288,,corner store,x,,
Tierra Santa Market,Corner Stores,2890 San Bruno Ave,94134,Art's Valero,Stores that Accept SNAP/WIC,2985 San Bruno Ave,94134,145.347878,14,34,,corner store,,,
Aguila de Oro,International Grocery Stores, ,,Saabis Groceries,Stores that Accept SNAP/WIC,1599 Revere Ave,94124,203.5485044,15,366,,corner store,x,,
Food Mart,Corner Stores, ,,H & M Food Mart,Stores that Accept SNAP/WIC,2400 San Bruno Ave,94134,39.72996885,16,35,x,corner store,,,x
Casa Guadalupe,International Grocery Stores, ,,Vic's Convenient Store,Stores that Accept SNAP/WIC,3300 26th St,94110,160.7409306,17,333,,corner store,,,
Woerners,Liquor Stores, ,,Green Apple Market,Stores that Accept SNAP/WIC,1042 Polk St,94109,135.6781048,18,287,,supermarket,,,
Dair's Pine-Taylor Market,Corner Stores,996 Pine Street,94108,Pine&jones Market,Stores that Accept SNAP/WIC,1100 Pine St,94109,173.7699475,19,78,x,Liquor Store,,,
Lowell Market,Corner Stores, ,,BROTHER'S MARKET,Stores that Accept SNAP/WIC,5501 Mission St,94112,336.875692,20,170,,Liquor Store,,,
Serw-Well,Liquor Stores, ,,Hyde & O'Farrell Market Inc,Stores that Accept SNAP/WIC,701 Ofarrell St,94109,121.7484244,21,286,,corner store,x,,
Crown Market Liquor,Liquor Stores,712 Geary Street,,Geary Hyde Market,Stores that Accept SNAP/WIC,798 Geary St,94109,110.7539528,22,296,,corner store,,,
Tierra Santa Market,Corner Stores, ,,Foothill Market,Stores that Accept SNAP/WIC,3004 San Bruno Ave,94134,179.6191429,23,34,,Liquor Store,,,
H Mart,International Grocery Stores,3995 Alemany Boulevard,,NORMAN'S LIQUOR,Stores that Accept SNAP/WIC,733 Randolph St,94132,444.0685334,24,361,,Liquor Store,,,
Casa Lucas,International Grocery Stores, ,,Jupiter Market,Stores that Accept SNAP/WIC,4567 Mission St,94112,25.19661721,25,369,,Liquor Store,,,
Right Way,Supermarkets, ,,El Jubani,Stores that Accept SNAP/WIC,596 Ofarrell St,94102,12.52745879,26,355,,x,x,x,
Battambang,International Grocery Stores,339 Eddy St,94102,G & H Liquors & Grocery,Stores that Accept SNAP/WIC,201 Jones St,94102,111.0048835,27,209,,Liquor Store,,,
Cable Car,Liquor Stores,841 Clement Street,94118,Clement Street Farmers Mkt/Ag Institure of Marin,Stores that Accept SNAP/WIC,Clement St,94118,62.39701364,28,299,,Farmers Market,,,
Spicely,Corner Stores, ,,Crocker Galleria Farmers Market,Stores that Accept SNAP/WIC,50 Post St,94108,135.1821684,29,133,,Farmers Market,x,,
Right Way,Supermarkets, ,,Econo Market,Stores that Accept SNAP/WIC,593 O'Farrell St,94102,37.57775995,30,355,,corner store,x,,
Grocery Outlet,Supermarkets, ,,Geary Grocery Outlet,Stores that Accept SNAP/WIC,6333 Geary Blvd,94121,26.17060312,31,352,x,Supermarket,,,
